,Date,Hour,AM/PM,Wind_Speed,Rain_Ml,Condition,Only_Hour,Full_Hour
295,2015-01-13,7:19,AM,20.0,0.0,Light Rain with Thunder,7,7
296,2015-01-13,8:00,AM,26.0,0.0,T-Storm,8,8
297,2015-01-13,9:00,AM,22.0,0.0,T-Storm,9,9
298,2015-01-13,9:24,AM,37.0,0.0,T-Storm / Windy,9,9
299,2015-01-13,10:00,AM,30.0,0.0,T-Storm,10,10
300,2015-01-13,10:04,AM,35.0,0.0,T-Storm / Windy,10,10
301,2015-01-13,10:05,AM,35.0,0.0,T-Storm / Windy,10,10
302,2015-01-13,10:10,AM,43.0,0.0,Heavy T-Storm / Windy,10,10
303,2015-01-13,11:00,AM,30.0,0.0,Heavy T-Storm,11,11
304,2015-01-13,11:35,AM,26.0,0.0,T-Storm,11,11
305,2015-01-13,12:00,PM,28.0,0.0,Heavy Rain,12,12
306,2015-01-13,1:00,PM,33.0,0.0,Light Rain / Windy,1,13
307,2015-01-13,2:00,PM,13.0,0.0,Cloudy,2,14
308,2015-01-13,3:00,PM,11.0,0.0,Cloudy,3,15
309,2015-01-13,4:00,PM,7.0,0.0,Cloudy,4,16
310,2015-01-13,5:00,PM,6.0,0.0,Cloudy,5,17
311,2015-01-14,12:00,AM,13.0,0.0,Partly Cloudy,12,0
312,2015-01-14,1:00,AM,9.0,0.0,Fair,1,1
313,2015-01-14,2:00,AM,13.0,0.0,Fair,2,2
314,2015-01-14,3:00,AM,7.0,0.0,Mostly Cloudy,3,3
315,2015-01-14,4:00,AM,6.0,0.0,Mostly Cloudy,4,4
316,2015-01-14,5:00,AM,13.0,0.0,Mostly Cloudy,5,5
317,2015-01-14,6:00,AM,17.0,0.0,Mostly Cloudy,6,6
318,2015-01-14,7:00,AM,13.0,0.0,Partly Cloudy,7,7
319,2015-01-14,8:00,AM,9.0,0.0,Partly Cloudy,8,8
320,2015-01-14,9:00,AM,9.0,0.0,Partly Cloudy,9,9
321,2015-01-14,10:00,AM,7.0,0.0,Mostly Cloudy,10,10
322,2015-01-14,11:00,AM,7.0,0.0,Partly Cloudy,11,11
323,2015-01-14,12:00,PM,11.0,0.0,Fair,12,12
324,2015-01-14,1:00,PM,11.0,0.0,Fair,1,13
325,2015-01-14,2:00,PM,11.0,0.0,Fair,2,14
326,2015-01-14,3:00,PM,11.0,0.0,Fair,3,15
327,2015-01-14,4:00,PM,9.0,0.0,Fair,4,16
328,2015-01-14,5:00,PM,9.0,0.0,Fair,5,17
329,2015-01-14,6:00,PM,11.0,0.0,Fair,6,18
330,2015-01-14,6:20,PM,56.0,0.0,Rain Shower / Windy,6,18
331,2015-01-14,7:00,PM,11.0,0.0,Partly Cloudy,7,19
332,2015-01-14,8:00,PM,28.0,0.0,Mostly Cloudy,8,20
333,2015-01-14,9:00,PM,22.0,0.0,Mostly Cloudy,9,21
334,2015-01-14,10:00,PM,24.0,0.0,Mostly Cloudy,10,22
335,2015-01-15,12:00,AM,33.0,0.0,Partly Cloudy / Windy,12,0
336,2015-01-15,1:00,AM,26.0,0.0,Fair,1,1
337,2015-01-15,2:00,AM,37.0,0.0,Fair / Windy,2,2
338,2015-01-15,3:00,AM,30.0,0.0,Partly Cloudy,3,3
339,2015-01-15,4:00,AM,30.0,0.0,Partly Cloudy,4,4
340,2015-01-15,5:00,AM,28.0,0.0,Partly Cloudy,5,5
341,2015-01-15,6:00,AM,30.0,0.0,Mostly Cloudy,6,6
342,2015-01-15,7:00,AM,28.0,0.0,Mostly Cloudy,7,7
343,2015-01-15,8:00,AM,28.0,0.0,Mostly Cloudy,8,8
344,2015-01-15,9:00,AM,22.0,0.0,Mostly Cloudy,9,9
345,2015-01-15,10:00,AM,33.0,0.0,Mostly Cloudy / Windy,10,10
346,2015-01-15,11:00,AM,15.0,0.0,Mostly Cloudy,11,11
347,2015-01-15,12:00,PM,15.0,0.0,Mostly Cloudy,12,12
348,2015-01-15,1:00,PM,17.0,0.0,Partly Cloudy,1,13
349,2015-01-15,2:00,PM,22.0,0.0,Partly Cloudy,2,14
350,2015-01-15,3:00,PM,19.0,0.0,Fair,3,15
351,2015-01-15,4:00,PM,22.0,0.0,Fair,4,16
352,2015-01-15,5:00,PM,24.0,0.0,Fair,5,17
353,2015-01-15,6:00,PM,22.0,0.0,Fair,6,18
354,2015-01-15,7:00,PM,19.0,0.0,Fair,7,19
355,2015-01-15,8:00,PM,22.0,0.0,Partly Cloudy,8,20
356,2015-01-15,9:00,PM,26.0,0.0,Partly Cloudy,9,21
357,2015-01-15,10:00,PM,22.0,0.0,Fair,10,22
358,2015-01-15,11:00,PM,20.0,0.0,Fair,11,23
359,2015-01-16,12:00,AM,17.0,0.0,Fair,12,0
360,2015-01-16,1:00,AM,15.0,0.0,Fair,1,1
361,2015-01-16,2:00,AM,22.0,0.0,Fair,2,2
362,2015-01-16,3:00,AM,33.0,0.0,Fair / Windy,3,3
363,2015-01-16,4:00,AM,31.0,0.0,Fair,4,4
364,2015-01-16,5:00,AM,30.0,0.0,Partly Cloudy,5,5
365,2015-01-16,6:00,AM,26.0,0.0,Partly Cloudy,6,6
366,2015-01-16,7:00,AM,26.0,0.0,Partly Cloudy,7,7
367,2015-01-16,8:00,AM,17.0,0.0,Fair,8,8
368,2015-01-16,9:00,AM,13.0,0.0,Fair,9,9
369,2015-01-16,10:00,AM,15.0,0.0,Partly Cloudy,10,10
370,2015-01-16,11:00,AM,17.0,0.0,Mostly Cloudy,11,11
371,2015-01-16,12:00,PM,17.0,0.0,Mostly Cloudy,12,12
372,2015-01-16,1:00,PM,17.0,0.0,Partly Cloudy,1,13
373,2015-01-16,2:00,PM,15.0,0.0,Partly Cloudy,2,14
374,2015-01-16,3:00,PM,13.0,0.0,Partly Cloudy,3,15
375,2015-01-16,4:00,PM,19.0,0.0,Partly Cloudy,4,16
376,2015-01-16,5:00,PM,15.0,0.0,Partly Cloudy,5,17
377,2015-01-16,6:00,PM,19.0,0.0,Mostly Cloudy,6,18
378,2015-01-16,7:00,PM,19.0,0.0,Mostly Cloudy,7,19
379,2015-01-16,8:00,PM,13.0,0.0,Partly Cloudy,8,20
380,2015-01-16,8:04,PM,13.0,0.0,Thunder in the Vicinity,8,20
381,2015-01-16,8:20,PM,9.0,0.0,Light Rain with Thunder,8,20
382,2015-01-16,8:50,PM,28.0,0.0,Light Rain with Thunder,8,20
383,2015-01-17,12:00,AM,6.0,0.0,Fair,12,0
384,2015-01-17,1:00,AM,0.0,0.0,Fair,1,1
385,2015-01-17,1:48,AM,24.0,0.0,Fair,1,1
386,2015-01-17,2:00,AM,22.0,0.0,Fair,2,2
387,2015-01-17,3:00,AM,19.0,0.0,Fair,3,3
388,2015-01-17,4:00,AM,15.0,0.0,Partly Cloudy,4,4
389,2015-01-17,5:00,AM,19.0,0.0,Partly Cloudy,5,5
390,2015-01-17,5:40,AM,24.0,0.0,Mostly Cloudy,5,5
391,2015-01-17,6:00,AM,24.0,0.0,Mostly Cloudy,6,6
392,2015-01-17,7:00,AM,19.0,0.0,Cloudy,7,7
393,2015-01-17,8:00,AM,22.0,0.0,Light Drizzle,8,8
394,2015-01-17,9:00,AM,22.0,0.0,Mostly Cloudy,9,9
395,2015-01-17,10:00,AM,22.0,0.0,Mostly Cloudy,10,10
396,2015-01-17,11:00,AM,15.0,0.0,Mostly Cloudy,11,11
397,2015-01-17,12:00,PM,11.0,0.0,Mostly Cloudy,12,12
398,2015-01-17,1:00,PM,13.0,0.0,Mostly Cloudy,1,13
399,2015-01-17,2:00,PM,22.0,0.0,Partly Cloudy,2,14
400,2015-01-17,3:00,PM,22.0,0.0,Mostly Cloudy,3,15
401,2015-01-17,4:00,PM,24.0,0.0,Mostly Cloudy,4,16
